Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC,Recent_Points,Recent_xGI,Recent_xGC,Recent_Minutes,Recent_Starts,Points_per_Million,xGI_per90,Base_Form_Value,xGI_norm,Team_Attack_Norm,Team_Defence_Norm,Tuned_Score
Gakpo,MID,Liverpool,7.7,18.3,6.7,1,0,1,0,2,2,0,2,23,9.0,5.0,4.0,4.0,2.0,2.0,433.73493975903614,115.3846153846154,21.75,0.5,0.0,360,87,2,0.83,3.12,5.75,0.9,2.675,90.0,4,2.987012987012987,0.2075,0.7961038961038961,0.18732638888888886,0.9738507260431454,0.3854569225319805,1.221248525218997
P.M.Sarr,MID,Spurs,5.0,2.5,3.7,0,1,1,1,0,1,0,3,19,8.0,3.0,5.0,1.0,1.0,0.0,1326.923076923077,84.55882352941177,19.30434782608696,0.0,0.0,345,74,0,0.26,4.08,4.75,0.3275,3.0475,86.25,4,3.8,0.06782608695652174,0.866,0.06123188405797102,0.9348806509056645,0.8525098067899057,1.2207625756430696
Ndiaye,MID,Everton,6.5,9.0,5.7,1,1,2,0,0,0,0,2,22,5.0,2.0,3.0,7.0,4.0,3.0,244.85294117647055,71.45922746781116,22.43243243243243,0.0,0.0,333,83,0,1.36,4.66,5.5,0.925,3.87,83.25,4,3.3846153846153846,0.3675675675675676,0.8584615384615385,0.33183183183183185,0.5140783584128885,0.18998661985570173,1.1877132882303738
Pickford,GKP,Everton,5.5,11.9,6.0,0,0,0,0,0,0,9,2,24,5.0,2.0,3.0,7.0,4.0,3.0,36000.0,64.1711229946524,20.25,0.75,2.25,360,81,3,0.01,5.61,6.0,0.005,4.5825,90.0,4,4.363636363636363,0.0025,1.0909090909090908,0.0022569444444444442,0.5140783584128885,0.18998661985570173,1.1859024008369417
Szoboszlai,MID,Liverpool,6.5,3.1,5.7,1,0,1,0,0,0,0,2,20,9.0,5.0,4.0,4.0,2.0,2.0,1440.0,115.3846153846154,22.25,0.75,0.0,360,89,3,0.25,3.12,5.0,0.2925,2.675,90.0,4,3.076923076923077,0.0625,0.8123076923076924,0.056423611111111105,0.9738507260431454,0.3854569225319805,1.1785460714227933
Cucurella,DEF,Chelsea,6.1,28.7,6.3,0,0,0,0,1,1,0,2,20,16.0,9.0,7.0,7.0,4.0,3.0,523.2142857142857,148.73096446700507,29.48805460750853,0.6143344709897611,0.0,293,96,2,0.56,1.97,5.0,0.485,1.605,73.25,3,3.278688524590164,0.17201365187713313,0.9049180327868852,0.1552901023890785,0.9885459403799549,0.5386527335906109,1.1742443995821907
Tarkowski,DEF,Everton,5.5,7.0,5.0,0,0,0,0,0,0,0,2,23,5.0,2.0,3.0,7.0,4.0,3.0,1714.2857142857144,64.1711229946524,16.5,0.0,0.0,360,66,0,0.21,5.61,5.75,0.22,4.5825,90.0,4,4.181818181818182,0.0525,0.9909090909090907,0.04739583333333333,0.5140783584128885,0.18998661985570173,1.0859024008369416
Gyökeres,FWD,Arsenal,9.0,25.0,4.7,3,0,3,0,0,0,0,2,20,10.0,9.0,1.0,2.0,1.0,1.0,200.0,220.14388489208636,24.11764705882353,0.5882352941176471,0.0,306,82,2,1.53,1.39,5.0,1.3375000000000001,1.1125,76.5,4,2.2222222222222223,0.45,0.5422222222222222,0.40625,1.0,1.0,1.075034722222222
Virgil,DEF,Liverpool,6.0,27.4,4.7,0,0,0,0,0,0,0,2,22,9.0,5.0,4.0,4.0,2.0,2.0,1714.2857142857144,115.3846153846154,19.25,1.0,0.0,360,77,4,0.21,3.12,5.5,0.215,2.675,90.0,4,3.6666666666666665,0.0525,0.8633333333333333,0.04739583333333333,0.9738507260431454,0.3854569225319805,1.0560617945993236
Andersen,DEF,Fulham,4.5,3.0,3.0,0,0,0,0,0,0,0,1,19,3.0,2.0,1.0,4.0,1.0,3.0,409.09090909090907,65.93406593406594,18.25,0.5,0.0,360,73,2,0.88,5.46,4.75,0.6175,4.075,90.0,4,4.222222222222222,0.22,0.9000000000000001,0.1986111111111111,0.2251954934124691,0.08399497657126466,0.9419974882856325
Henderson,MID,Brentford,5.0,0.3,2.3,0,0,0,1,0,1,6,5,34,7.0,3.0,4.0,12.0,2.0,10.0,15225.0,447.7941176470588,18.47290640394089,0.1477832512315271,0.8866995073891626,609,125,1,0.04,1.36,4.25,0.0175,2.0825,76.125,7,6.8,0.005911330049261084,0.694,0.005336617405582923,0.5016514657972022,0.14967072869898979,0.871979490861533
M.Salah,MID,Liverpool,14.5,54.3,5.3,1,1,2,0,1,1,0,2,25,9.0,5.0,4.0,4.0,2.0,2.0,545.4545454545454,115.3846153846154,22.75,0.5,0.0,360,91,2,0.66,3.12,6.25,0.8025,2.675,90.0,4,1.7241379310344827,0.165,0.4048275862068966,0.14895833333333333,0.9738507260431454,0.3854569225319805,0.8127065903219974
Johnson,DEF,Sunderland,4.0,0.2,0.0,1,1,2,0,0,0,0,2,19,5.0,5.0,0.0,3.0,1.0,2.0,,,26.71232876712329,0.821917808219178,0.0,219,65,2,0.0,0.0,2.375,0.45,1.30375,27.375,3,4.75,0.0,0.35625,0.0,0.4690413710848622,0.6142771316552084,0.6633885658276042
